ema_fast,ema_slow,net_profit,car,drawdown,sharpe,sortino,psr,win_rate,loss_rate,profit_loss_ratio,total_orders,total_fees,status
6,20,-52.542,-77.753,53.2,-2.428,-3.821,0.027,24.0,76.0,1.75,517,16008.19,ok
6,26,-46.379,-71.544,46.9,-2.269,-3.577,0.09,26.0,74.0,1.75,459,15132.42,ok
6,35,-42.178,-66.869,43.0,-2.042,-3.446,0.303,26.0,74.0,1.82,443,14640.53,ok
6,50,-39.508,-63.711,40.3,-1.977,-3.338,0.406,26.0,74.0,1.8,405,13567.92,ok
6,75,-26.594,-46.392,30.5,-1.399,-2.395,2.651,28.0,72.0,1.97,357,13375.87,ok
6,100,-28.699,-49.446,30.6,-1.475,-2.454,1.962,26.0,74.0,2.05,355,12969.85,ok
8,20,-44.151,-69.109,44.7,-2.218,-3.591,0.143,26.0,74.0,1.75,443,14549.57,ok
8,26,-44.462,-69.454,44.9,-2.107,-3.471,0.21,26.0,74.0,1.71,423,13526.31,ok
8,35,-37.415,-61.134,38.7,-1.859,-3.09,0.607,30.0,70.0,1.5,363,12216.76,ok
8,50,-30.582,-52.102,31.9,-1.569,-2.685,1.717,30.0,70.0,1.69,339,12233.27,ok
8,75,-21.682,-38.91,26.6,-1.199,-2.117,4.144,29.0,71.0,1.97,328,12534.79,ok
8,100,-22.097,-39.561,22.8,-1.27,-2.213,3.498,30.0,70.0,1.76,298,10928.12,ok
12,20,-39.309,-63.469,40.4,-1.942,-3.308,0.48,29.0,71.0,1.59,381,12642.23,ok
12,26,-32.149,-54.258,33.1,-1.64,-2.97,1.493,31.0,69.0,1.59,341,11692.11,cache
12,35,-27.124,-47.169,29.0,-1.462,-2.444,2.232,29.0,71.0,1.82,314,11468.52,ok
12,50,-20.229,-36.604,22.2,-1.217,-1.942,3.927,33.0,67.0,1.63,276,10238.83,ok
12,75,-16.547,-30.565,20.1,-0.986,-1.621,6.287,32.0,68.0,1.74,256,9579.97,ok
12,100,-24.255,-42.891,24.6,-1.36,-2.207,2.722,29.0,71.0,1.74,258,9003.16,ok
16,20,-28.369,-48.973,30.2,-1.459,-2.576,2.316,33.0,67.0,1.49,327,11681.61,ok
16,26,-27.245,-47.345,29.1,-1.416,-2.323,2.361,30.0,70.0,1.67,302,10813.52,ok
16,35,-19.517,-35.457,21.7,-1.166,-1.838,4.336,32.0,68.0,1.67,266,9807.2,ok
16,50,-16.826,-31.032,19.7,-0.997,-1.603,6.072,35.0,65.0,1.51,246,9102.17,ok
16,75,-18.553,-33.889,21.4,-1.02,-1.596,5.738,35.0,65.0,1.49,236,8749.25,ok
16,100,-16.952,-31.243,20.8,-0.94,-1.532,6.75,32.0,68.0,1.69,230,8590.72,ok
20,26,-20.171,-36.511,22.6,-1.188,-1.937,4.178,33.0,67.0,1.64,264,9732.98,ok
20,35,-17.375,-31.946,20.3,-1.025,-1.596,5.705,37.0,63.0,1.4,240,8996.11,ok
20,50,-13.29,-24.992,19.5,-0.765,-1.187,9.163,36.0,64.0,1.53,228,8716.34,ok
20,75,-7.76,-15.032,17.4,-0.5,-0.804,13.866,36.0,64.0,1.66,196,7828.88,ok
20,100,-15.211,-28.305,17.5,-0.91,-1.368,7.145,34.0,66.0,1.6,196,7352.95,ok
26,35,-13.059,-24.588,18.8,-0.768,-1.229,9.21,37.0,63.0,1.44,220,8418.33,ok
26,50,-16.158,-29.911,17.7,-0.916,-1.434,7.08,32.0,68.0,1.75,214,7962.98,ok
26,75,-12.296,-23.247,17.6,-0.748,-1.081,9.4,38.0,62.0,1.38,184,7103.2,ok
26,100,-14.519,-27.121,17.6,-0.877,-1.255,7.528,36.0,64.0,1.46,174,6658.2,ok
