period_fast,period_slow,net_profit,car,drawdown,sharpe,sortino,psr,win_rate,loss_rate,profit_loss_ratio,total_orders,total_fees,status
10,50,-6.832,-13.299,15.7,-0.677,-0.945,11.948,39.0,61.0,1.33,108,4125.7,ok
10,75,-6.123,-11.963,18.8,-0.562,-0.807,13.641,28.0,72.0,2.18,78,2997.39,ok
10,100,-7.497,-14.542,17.7,-0.741,-1.104,11.098,20.0,80.0,3.16,70,2703.8,ok
10,150,-21.782,-39.068,25.1,-1.651,-2.16,1.776,22.0,78.0,1.31,64,2223.0,ok
10,200,-1.897,-3.788,15.6,-0.281,-0.365,19.474,35.0,65.0,1.81,40,1555.99,ok
10,250,-10.549,-20.132,20.7,-0.873,-1.174,8.642,22.0,78.0,2.38,46,1706.93,ok
10,300,-11.315,-21.506,13.8,-0.982,-1.251,7.437,17.0,83.0,2.81,36,1332.23,ok
20,50,-6.528,-12.727,12.2,-0.664,-0.885,12.273,36.0,64.0,1.49,84,3287.95,ok
20,75,-4.561,-8.985,13.0,-0.422,-0.507,16.037,37.0,63.0,1.54,60,2381.4,ok
20,100,-22.619,-40.377,27.9,-1.534,-1.814,1.849,30.0,70.0,1.12,54,1901.42,cache
20,150,-25.335,-44.521,29.5,-1.8,-2.147,0.999,26.0,74.0,0.65,46,1557.76,ok
20,200,-2.493,-4.963,16.7,-0.343,-0.427,18.335,44.0,56.0,1.19,32,1227.86,cache
20,250,-7.008,-13.628,16.7,-0.66,-0.857,12.155,24.0,76.0,2.25,34,1294.12,ok
20,300,-11.012,-20.965,14.4,-0.961,-1.256,7.706,25.0,75.0,1.54,24,886.32,ok
30,50,0.217,0.437,15.1,-0.159,-0.185,22.754,41.0,59.0,1.46,82,3310.68,ok
30,75,-16.453,-30.407,21.8,-1.131,-1.325,4.81,27.0,73.0,1.62,60,2167.84,ok
30,100,-23.408,-41.595,28.3,-1.592,-1.778,1.542,35.0,65.0,0.77,52,1788.75,ok
30,150,-28.332,-48.92,32.7,-1.87,-2.312,0.746,33.0,67.0,0.48,42,1368.54,ok
30,200,-4.497,-8.861,18.3,-0.463,-0.613,15.652,20.0,80.0,3.42,30,1120.2,ok
30,250,1.042,2.112,15.1,-0.11,-0.139,24.096,33.0,67.0,2.29,24,929.37,ok
30,300,-4.779,-9.404,10.5,-0.559,-0.667,14.419,20.0,80.0,2.9,20,774.09,ok
40,50,-1.391,-2.786,16.9,-0.245,-0.299,20.29,45.0,55.0,1.23,98,3863.92,ok
40,75,-19.989,-36.219,25.7,-1.385,-1.611,2.745,31.0,69.0,1.13,58,2106.46,ok
40,100,-22.673,-40.46,27.5,-1.564,-1.839,1.842,29.0,71.0,1.03,48,1703.9,ok
40,150,-29.978,-51.258,34.6,-1.939,-2.359,0.519,35.0,65.0,0.5,40,1297.67,ok
40,200,-6.754,-13.152,19.1,-0.617,-0.712,12.656,25.0,75.0,2.14,24,882.72,ok
40,250,-3.882,-7.674,17.4,-0.474,-0.637,15.937,25.0,75.0,2.39,24,917.71,ok
40,300,-6.661,-12.978,14.5,-0.664,-0.758,12.176,22.0,78.0,2.26,18,676.21,ok
50,75,-27.229,-47.322,31.5,-1.788,-2.157,0.89,30.0,70.0,0.87,60,2083.66,ok
50,100,-31.203,-52.963,35.7,-2.085,-2.539,0.351,25.0,75.0,0.85,48,1573.8,cache
50,150,-27.918,-48.323,32.6,-1.794,-2.032,0.784,30.0,70.0,0.62,40,1341.08,ok
50,200,-4.277,-8.437,16.5,-0.464,-0.568,15.758,36.0,64.0,1.39,22,826.64,cache
50,250,-4.74,-9.327,19.5,-0.52,-0.646,14.837,22.0,78.0,2.69,18,670.04,ok
50,300,-1.039,-2.085,11.4,-0.282,-0.344,20.267,22.0,78.0,3.4,18,702.04,ok
60,75,-24.35,-43.035,29.8,-1.659,-1.986,1.354,31.0,69.0,0.86,70,2431.4,ok
60,100,-33.31,-55.822,36.9,-2.214,-2.613,0.209,19.0,81.0,0.97,52,1653.35,ok
60,150,-22.953,-40.894,30.1,-1.551,-1.901,1.93,28.0,72.0,0.99,36,1217.63,ok
60,200,-7.453,-14.461,19.6,-0.697,-0.852,11.487,27.0,73.0,1.79,22,802.57,ok
60,250,-4.942,-9.716,19.4,-0.544,-0.712,14.459,38.0,62.0,1.29,16,585.83,ok
60,300,-6.378,-12.446,14.0,-0.667,-0.847,12.355,25.0,75.0,1.92,16,606.78,ok
80,100,-28.298,-48.871,32.9,-1.796,-2.186,0.867,20.0,80.0,1.38,50,1685.31,ok
80,150,-18.806,-34.303,23.3,-1.298,-1.473,3.442,31.0,69.0,0.95,32,1155.81,ok
80,200,-6.121,-11.96,19.3,-0.621,-0.773,12.957,36.0,64.0,1.25,22,799.19,ok
80,250,4.108,8.457,13.2,0.118,0.15,30.009,62.0,38.0,0.93,16,618.69,ok
80,300,13.141,28.271,10.4,0.813,1.044,49.989,83.0,17.0,2.2,12,508.62,ok
100,150,-0.6,-1.205,16.0,-0.18,-0.25,21.613,44.0,56.0,1.31,36,1427.2,ok
100,200,-1.907,-3.808,15.4,-0.282,-0.388,19.458,40.0,60.0,1.41,20,758.06,ok
100,250,3.731,7.667,15.6,0.096,0.119,29.057,62.0,38.0,0.86,16,611.96,ok
100,300,7.221,15.096,14.6,0.34,0.426,35.446,62.0,38.0,1.17,16,630.52,ok
